glac_id,glac_name,x,y,index_righ,POLITICAL_,NAME,WGMS_ID,PRIM_CLASS,GLIMS_ID
G212063E61198N,Wellesley Glacier,-147.937,61.198,793,US,WELLESLEY,164,5,
G229165E57087N,None,-130.835,57.087,63,CA,ALEXANDER,32,5,
G212622E61302N,Yale Glacier,-147.378,61.302,804,US,YALE,159,5,
G212557E61133N,Brilliant Glacier,-147.443,61.133,699,US,BRILLIANT,157,5,
G211320E60526N,None,-148.68,60.526,708,US,CLAREMONT NORTH,176,5,
G212113E61220N,Vassar Glacier,-147.887,61.22,792,US,VASSAR,163,5,
G229978E56520N,None,-130.022,56.52,90,CA,TIM WILLIAMS,70,5,
G229994E56525N,None,-130.006,56.525,90,CA,TIM WILLIAMS,70,5,
G226682E58367N,Wright Glacier,-133.318,58.367,801,US,WRIGHT,127,5,
G223301E58723N,Hugh Miller Glacier,-136.699,58.723,737,US,HUGH MILLER,142,5,
G211288E60799N,Learnard Glacier,-148.712,60.799,743,US,LEARNARD,173,5,
G222222E59694N,None,-137.778,59.694,86,CA,TATS,72,5,
G213525E61251N,Shoup Glacier,-146.475,61.251,767,US,SHOUP,155,5,
G212728E63543N,West Fork Glacier,-147.272,63.543,794,US,WEST FORK,184,5,
G211194E60700N,Portage Glacier,-148.806,60.7,758,US,PORTAGE,174,5,
G211374E60654N,None,-148.626,60.654,742,US,LAWRENCE,95,5,
G214954E60536N,Saddlebag Glacier,-145.046,60.536,762,US,SADDLEBAG,108,5,
G211360E60635N,Marquette Glacier,-148.64,60.635,747,US,MARQUETTE,96,5,
G228987E57017N,None,-131.013,57.017,75,CA,MAWER,69,5,
G222987E58962N,None,-137.013,58.962,739,US,KASHOTO,140,5,
G222821E58871N,Tyeen Glacier,-137.179,58.871,781,US,TYEEN,136,5,
G211075E60552N,Trail Glacier,-148.925,60.552,780,US,TRAIL,1389,5,
G215973E62186N,None,-144.027,62.186,695,US,BETSELI,109,5,
G215902E62083N,Sanford Glacier,-144.098,62.083,717,US,DRUMSTICK,1373,5,
G215818E61990N,Chetaslina Glacier,-144.182,61.99,706,US,CHETASLINA,113,5,
G222974E58791N,Gilman Glacier,-137.026,58.791,728,US,GILMAN,138,5,
G216046E62056N,None,-143.954,62.056,752,US,NADINA,1378,5,
G214215E61168N,Worthington Glacier,-145.785,61.168,800,US,WORTHINGTON,153,5,
G220833E59999N,Variegated Glacier,-139.167,59.999,791,US,VARIEGATED,150,5,
G216152E69302N,McCall Glacier,-143.848,69.302,749,US,MCCALL,1388,5,G216152E69302N
G213683E63392N,Black Rapids Glacier,-146.317,63.392,696,US,BLACK RAPIDS,80,5,
G211358E60580N,Taylor Glacier,-148.642,60.58,776,US,TAYLOR US,93,5,
G223260E59066N,None,-136.74,59.066,788,US,UNNAMED US1334,120,5,
G087783E49100N,Kanasi Glacier,87.783,49.1,160,CN,HALASI GL.,851,5,
G087761E50048N,Malii Aktru,87.761,50.048,527,RU,MALIY AKTRU,795,5,
G087700E50080N,Levii Aktru,87.7,50.08,525,RU,LEVIY AKTRU,794,5,
G087720E50060N,Pravii Aktru,87.72,50.06,532,RU,PRAVIY AKTRU,831,5,
G073002E39198N,None,73.002,39.198,596,TJ,M. OKTYABRSKIY,710,5,G072999E39186N
G077080E43049N,Tsentralniy Tuyuksu Glacier,77.08,43.049,404,KZ,TS.TUYUKSUYSKIY,817,5,G077081E43044N
G073183E39306N,None,73.183,39.306,607,TJ,NO.042.14.03.17,2182,5,G073183E39306N
G098570E39226N,CN5Y432A0001 Bayi Glacier,98.57,39.226,184,CN,YANGLONGHE NO.5,837,5,G098570E39226N
G079787E42137N,None,79.787,42.137,390,KG,SOUTHERN INYLCHEK,10414,5,G080121E42063N
G072629E37727N,None,72.629,37.727,641,TJ,NO.394.14.03.15,2256,5,G072629E37727N
G071559E38666N,None,71.559,38.666,597,TJ,MAZARSKIY,746,5,
G072711E38812N,None,72.711,38.812,601,TJ,NICHKEDZHILGA,2134,5,G072705E38801N
G072695E38833N,None,72.695,38.833,666,TJ,NO.579.14.03.08,2136,5,G072685E38827N
G073461E38435N,None,73.461,38.435,642,TJ,NO.446.14.03.13,2203,5,G073461E38435N
G072798E39048N,None,72.798,39.048,647,TJ,NO.469.14.03.08,2109,5,G072805E39047N
G077277E43048N,None,77.277,43.048,394,KZ,BOGATYR,803,5,
G072799E39141N,None,72.799,39.141,688,TJ,ZULUMART,2100,5,G072801E39138N
G072709E38006N,None,72.709,38.006,612,TJ,NO.093.14.03.14,2222,5,G072709E38006N
G088313E43812N,CN5Y725D0005,88.313,43.812,174,CN,SIGONHE NO.5,862,5,G088313E43812N
G086801E43117N,CN5Y730C0029 Urumqi Source Glacier No1 W Br,86.801,43.117,179,CN,URUMQI GLACIER NO. 1 W-BRANCH,1512,5,G086801E43117N
G073693E39095N,None,73.693,39.095,602,TJ,NO.015.14.03.17,2190,5,G073691E39100N
G072525E37998N,None,72.525,37.998,609,TJ,NO.047.14.03.14,2216,5,
G072559E37965N,None,72.559,37.965,610,TJ,NO.052.14.03.14,2217,5,G072559E37965N
G072701E38850N,None,72.701,38.85,667,TJ,NO.582.14.03.08,2138,5,
G072906E39054N,None,72.906,39.054,683,TJ,VOLODARSKIY 3,2167,5,G072910E39052N
G072581E38811N,None,72.581,38.811,588,TJ,DZHAYLYAUKUMSAY,2142,5,G072595E38802N
G077101E42836N,None,77.101,42.836,362,KG,AKSU VOSTOCHNIY,784,5,G077100E42827N
G072240E38656N,None,72.24,38.656,598,TJ,MEDVEZHIY,716,5,G072229E38652N
G072722E37654N,None,72.722,37.654,680,TJ,URTA-BAKCHIGIR 2,2251,5,G072722E37654N
G073081E38118N,None,73.081,38.118,626,TJ,NO.208.14.03.14,2237,5,
G077314E43095N,None,77.314,43.095,400,KZ,KORZHENEVSKIY,1105,5,G077332E43068N
G073199E37935N,None,73.199,37.935,625,TJ,NO.174.14.03.14,2236,5,G073199E37935N
G097755E39237N,CN5Y437C0018 Qiyi Glacier,97.755,39.237,170,CN,QIYI,856,5,
G072944E39092N,None,72.944,39.092,627,TJ,NO.240.14.03.17,2162,5,G072941E39091N
G086810E43111N,CN5Y730C0029 Urumqi Source Glacier No1 E Br,86.81,43.111,178,CN,URUMQI GLACIER NO. 1 E-BRANCH,1511,5,G086810E43111N
G072956E39202N,None,72.956,39.202,685,TJ,ZAPADNIY OKTYABRSKIY,2181,5,G072963E39200N
G072558E38862N,None,72.558,38.862,675,TJ,SEVERNIY DZHAYLYAUKUMSAY,2144,5,G072556E38856N
G073087E37924N,None,73.087,37.924,622,TJ,NO.165.14.03.14,2230,5,G073087E37922N
G071570E39610N,Abramov Glacier,71.57,39.61,360,KG,ABRAMOV,732,5,G071570E39610N
G080334E42156N,CN5Y681B0016 Tugebieliqi Glacier,80.334,42.156,176,CN,TUGEBIELIQI,864,5,G080334E42156N
G073804E38952N,None,73.804,38.952,592,TJ,KARA-ART,2192,5,G073798E38938N
G070900E39023N,None,70.9,39.023,650,TJ,NO.503,723,5,
G072875E39049N,None,72.875,39.049,681,TJ,VOLODARSKIY 1,2165,5,G072880E39039N
G072826E39103N,None,72.826,39.103,676,TJ,SEVERNIY ZULUMART,2099,5,G072820E39104N
G073097E38055N,None,73.097,38.055,636,TJ,NO.284.14.03.14,2245,5,G073097E38055N
G073589E38486N,None,73.589,38.486,594,TJ,KYZYLDZHILGA,2207,5,G073589E38486N
G072469E38099N,None,72.469,38.099,604,TJ,NO.031.14.03.14,2211,5,G072469E38099N
G071513E38728N,None,71.513,38.728,677,TJ,SKOGACH,718,5,G071517E38739N
G072538E38951N,None,72.538,38.951,673,TJ,NO.623.14.03.08,2157,5,G072541E38947N
G078291E41798N,None,78.291,41.798,376,KG,KAINDY (AKSHIYRAK),9416,5,G078291E41798N
G072566E38907N,None,72.566,38.907,587,TJ,DUSAKASAY,2147,5,G072555E38901N
G077098E43047N,None,77.098,43.047,398,KZ,IGLI TUYUKSU,816,5,
G078184E41824N,Sary Tor Gl,78.184,41.824,389,KG,SARY TOR (NO.356),805,5,G078181E41827N
G072699E37702N,None,72.699,37.702,640,TJ,NO.385.14.03.15,2253,5,G072699E37702N
G072988E38874N,None,72.988,38.874,617,TJ,NO.139.14.03.17,2160,5,G072988E38874N
G073548E38446N,None,73.548,38.446,580,TJ,AKBAYTAL,709,5,G073548E38446N
G077204E42976N,None,77.204,42.976,405,KZ,ZHANGYRYK,1089,5,
G080816E45248N,None,80.816,45.248,392,KZ,AYSBERGOV,1077,5,
G073274E38082N,None,73.274,38.082,639,TJ,NO.336.14.03.14,2249,5,G073287E38085N
G072923E39075N,None,72.923,39.075,628,TJ,NO.241.14.03.17,2163,5,G072925E39074N
G072745E39191N,None,72.745,39.191,638,TJ,NO.324.14.03.08,2103,5,G072730E39190N
G072867E39103N,None,72.867,39.103,632,TJ,NO.259.14.03.17,2170,5,G072867E39103N
G079956E42288N,None,79.956,42.288,166,CN,MUZHAERT,865,5,G079906E42284N
G070751E39420N,None,70.751,39.42,381,KG,KLYUEV,739,5,
G072746E37985N,None,72.746,37.985,615,TJ,NO.101.14.03.14,2224,5,G072746E37985N
G073785E38955N,None,73.785,38.955,603,TJ,NO.030.14.03.17,2194,5,G073785E38955N
G073775E38950N,None,73.775,38.95,603,TJ,NO.030.14.03.17,2194,5,G073785E38955N
G081057E35255N,CN5Z431B0014 Guozha Glacier,81.057,35.255,158,CN,GOZHA,861,5,
G073076E37937N,None,73.076,37.937,621,TJ,NO.161.14.03.14,2229,5,G073074E37944N
G076020E35955N,Panmah Glacier,76.02,35.955,502,PK,PANMAH,1000,5,
G072768E39067N,None,72.768,39.067,582,TJ,BELEULI,2104,5,G072770E39071N
G072614E38987N,None,72.614,38.987,671,TJ,NO.612.14.03.08,2152,5,G072616E38986N
G072851E39100N,None,72.851,39.1,631,TJ,NO.257.14.03.17,2169,5,
G078269E42140N,None,78.269,42.14,377,KG,KARA-BATKAK,813,5,G078273E42140N
G073528E38455N,None,73.528,38.455,614,TJ,NO.096.14.03.17,2210,5,G073528E38455N
G073141E37921N,None,73.141,37.921,624,TJ,NO.170.14.03.14,2233,5,G073144E37914N
G073022E37951N,None,73.022,37.951,618,TJ,NO.155.14.03.14,2226,5,
G073571E38455N,None,73.571,38.455,613,TJ,NO.093.14.03.17,2209,5,
G072533E38016N,None,72.533,38.016,608,TJ,NO.046.14.03.14,2215,5,G072533E38016N
G073044E37924N,None,73.044,37.924,620,TJ,NO.160.14.03.14,2228,5,G073048E37921N
G096544E39436N,CN5Y448D0012 Laohugou Glacier,96.544,39.436,164,CN,LAOHUGOU,855,5,
G073125E37928N,None,73.125,37.928,623,TJ,NO.169.14.03.14,2232,5,G073128E37925N
G072656E38833N,None,72.656,38.833,591,TJ,ICHKELSAY,2140,5,G072660E38815N
G073039E37931N,None,73.039,37.931,619,TJ,NO.159.14.03.14,2227,5,G073026E37921N
G079990E41931N,CN5Y673P0037 Tuomuer Glacier,79.99,41.931,361,KG,AKSU,734,5,
G079485E44891N,None,79.485,44.891,393,KZ,BEZSONOV,1092,5,G079485E44891N
G071768E38938N,None,71.768,38.938,593,TJ,KHADYRSHA,720,5,
G077749E41787N,None,77.749,41.787,365,KG,BATYSH SOOK/SYEK ZAPADNIY,781,5,
G073374E38478N,None,73.374,38.478,649,TJ,NO.499.14.03.13,2206,5,
G072946E38870N,None,72.946,38.87,651,TJ,NO.503.14.03.08,2113,5,G072940E38870N
G094277E35675N,CN5Y533B0025,94.277,35.675,183,CN,XIDATAN,858,5,
G072967E39175N,None,72.967,39.175,634,TJ,NO.269.14.03.17,2177,5,
G080314E45078N,None,80.314,45.078,397,KZ,GERASIMOV,1100,5,G080314E45078N
G080229E45083N,Shumskiy Glacier,80.229,45.083,402,KZ,SHUMSKIY,797,5,G080229E45083N
G072711E37680N,None,72.711,37.68,679,TJ,URTA-BAKCHIGIR 1,2252,5,G072711E37680N
G076865E42794N,None,76.865,42.794,373,KG,GLACIER NO. 599 (KJUNGEI ALA-TOO),10402,5,
G013724E78479N,Borebreen,13.724,78.479,563,SJ,BOREBREEN,3477,5,G013797E78464N
G073387E38467N,None,73.387,38.467,645,TJ,NO.453.14.03.13,2205,5,G073387E38467N
G077070E42840N,None,77.07,42.84,363,KG,AKSU ZAPADNIY,802,5,G077075E42833N
G073864E38912N,CN5Y663I0090,73.864,38.912,606,TJ,NO.040.14.03.17,2198,5,G073864E38912N
G073432E38444N,None,73.432,38.444,644,TJ,NO.449.14.03.13,2204,5,G073432E38444N
G080088E45018N,CN5Y746G0003,80.088,45.018,396,KZ,FYODOROVICH,1095,5,G080088E45018N
G072725E39085N,None,72.725,39.085,643,TJ,NO.448.14.03.08,2106,5,
G072966E38805N,None,72.966,38.805,660,TJ,NO.543.14.03.08,2125,5,G072966E38802N
G073033E38858N,None,73.033,38.858,616,TJ,NO.134.14.03.17,2158,5,G073031E38856N
G073650E38832N,None,73.65,38.832,611,TJ,NO.072.14.03.17,2201,5,
G072588E38888N,None,72.588,38.888,669,TJ,NO.599.14.03.08,2145,5,
G072916E38878N,None,72.916,38.878,654,TJ,NO.512.14.03.08,2117,5,
G070137E39532N,None,70.137,39.532,678,TJ,TURO,785,5,G070137E39532N
G074498E42454N,Golubin Glacier,74.498,42.454,374,KG,GOLUBIN,753,5,G074498E42454N
G072742E37625N,None,72.742,37.625,581,TJ,BAKCHIGIR,711,5,G072742E37625N
G077060E42834N,None,77.06,42.834,370,KG,DOLONATA,798,5,G077056E42831N
G072732E38828N,None,72.732,38.828,665,TJ,NO.578.14.03.08,2135,5,G072733E38826N
G070985E42119N,None,70.985,42.119,806,UZ,BARKRAK SREDNIY,818,5,G070992E42119N
G080107E41805N,CN5Y674A0005 Koxqar Baqi Glacier,80.107,41.805,163,CN,KEGIKER,867,5,
G072848E39077N,None,72.848,39.077,630,TJ,NO.254.14.03.17,2168,5,G072849E39074N
G079373E44889N,None,79.373,44.889,403,KZ,TRONOV,1093,5,G079373E44889N
G073632E38820N,None,73.632,38.82,583,TJ,BUZ-CHUBEK,2200,5,G073623E38832N
G077256E43082N,None,77.256,43.082,401,KZ,SHOKALSKIY (TIEN SHAN),815,5,G077289E43078N
G070672E39517N,None,70.672,39.517,686,TJ,ZERAVSHANSKIY,745,5,G070672E39517N
G072791E39066N,None,72.791,39.066,646,TJ,NO.464.14.03.08,2108,5,G072800E39065N
G073500E38440N,None,73.5,38.44,687,TJ,ZORTASHKOL,2202,5,G073500E38440N
G090221E28861N,CN5O241D0012,90.221,28.861,169,CN,QIANGYONG,871,5,G090220E28856N
G072757E38812N,None,72.757,38.812,584,TJ,CHAKYDZHILGA,2131,5,G072755E38806N
G072820E38919N,None,72.82,38.919,658,TJ,NO.532.14.03.08,2122,5,
G287701E47628S,Gl. San Lorenzo Sur,-72.299,-47.628,30,AR,SAN LORENZO SUR,3798,5,G287701E47628S
G016136E77068N,Wibebreen,16.136,77.068,579,SJ,WIBEBREEN,307,5,
G012039E78878N,Midtre Lovenbreen,12.039,78.878,570,SJ,MIDTRE LOVENBREEN,291,5,G012031E78878N
G013810E78650N,Sveabreen,13.81,78.65,576,SJ,SVEABREEN,3519,5,G013820E78651N
G016050E76938N,Körberbreen,16.05,76.938,568,SJ,KOERBERBREEN,310,5,G016067E76942N
G012079E78681N,Waldemarbreen,12.079,78.681,577,SJ,WALDEMARBREEN,2307,5,G012069E78677N
G016528E77664N,Svalbreen,16.528,77.664,575,SJ,SVALBREEN,3517,5,G016526E77665N
G012478E79621N,Erikbreen,12.478,79.621,565,SJ,ERIKBREEN,3485,5,G012466E79617N
G015037E77377N,Recherchebreen,15.037,77.377,573,SJ,RECHERCHEBREEN,3513,5,
G014053E77968N,Aldegondabreen,14.053,77.968,559,SJ,ALDEGONDABREEN,3470,5,
G012161E78870N,Austre Lovenbreen,12.161,78.87,562,SJ,AUSTRE LOVENBREEN,3812,5,G012161E78871N
G014442E77835N,Fridtjovbreen,14.442,77.835,567,SJ,FRIDTJOVBREEN,3494,5,G014408E77836N
G014308E77502N,Renardbreen,14.308,77.502,560,SJ,ANTONIABREEN,3471,5,
G016079E77105N,Kvalfangarbreen,16.079,77.105,569,SJ,KVALFANGARBREEN,296,5,
G011895E78886N,Austre Brøggerbreen,11.895,78.886,561,SJ,AUSTRE BROEGGERBREEN,292,5,G011831E78888N
G288117E41158S,Gl. Manso,-71.883,-41.158,23,AR,MANSO,1345,5,
G288136E41182S,None,-71.864,-41.182,23,AR,MANSO,1345,5,
G286985E49265S,Gl. Piedras Blancas,-73.015,-49.265,26,AR,PIEDRAS BLANCAS,3716,5,
G286971E49269S,Piedras Blancas,-73.029,-49.269,26,AR,PIEDRAS BLANCAS,3716,5,
G287591E48477S,Gl. Narv?ez,-72.409,-48.477,24,AR,NARVAEZ GRANDE,3799,5,G287591E48477S
G077333E32259N,None,77.333,32.259,263,IN,GLACIER NO. 30,3052,5,G077338E32258N
G077342E32257N,None,77.342,32.257,263,IN,GLACIER NO. 30,3052,5,G077338E32258N
G077513E32227N,None,77.513,32.227,260,IN,CHHOTA SHIGRI,2921,5,G077508E32224N
G077358E32209N,None,77.358,32.209,266,IN,JOBRI,3054,5,G077358E32213N
G078348E31293N,None,78.348,31.293,271,IN,SHAUNE GARANG,1048,5,G078349E31292N
G007045E45487N,Glacier de Rhêmes-Golette_1,7.045,45.487,298,IT,GOLETTA,683,5,
G212137E61253N,Bryn Mawr Glacier,-147.863,61.253,700,US,BRYN MAWR,162,5,
G211481E60940N,None,-148.519,60.94,733,US,HARRIMAN,172,5,
G088692E27956N,None,88.692,27.956,259,IN,CHANGMEKHANGPU,1045,5,G088684E27960N
G212501E61399N,Harvard Glacier,-147.499,61.399,734,US,HARVARD,160,5,
G096979E29390N,None,96.979,29.39,168,CN,PARLUNG NO. 94,3987,5,G096975E29387N
G211805E61150N,Cascade Glacier,-148.195,61.15,703,US,CASCADE,169,5,
G211726E61128N,Serpentine Glacier,-148.274,61.128,764,US,SERPENTINE,170,5,
G212185E61288N,Smith Glacier,-147.815,61.288,768,US,SMITH,161,5,
G211468E60679N,Tebenkof Glacier,-148.532,60.679,777,US,TEBENKOF,175,5,
G211009E61198N,Eklutna Glacier,-148.991,61.198,721,US,EKLUTNA,85,5,
G086884E27725N,None,86.884,27.725,430,NP,MERA,3996,5,
G086917E27925N,Lhotse,86.917,27.925,426,NP,LHOTSE,3463,5,G086915E27927N
G086889E27929N,West Lhotse,86.889,27.929,427,NP,LHOTSE NUP,3464,5,G086891E27940N
G080498E30181N,None,80.498,30.181,261,IN,CHIPA,3048,5,G080500E30180N
G086949E27913N,Imja,86.949,27.913,428,NP,LHOTSE SHAR / IMJA,3465,5,G086958E27924N
G080007E30302N,None,80.007,30.302,269,IN,PINDARI,3045,5,
G080633E30324N,None,80.633,30.324,256,IN,ADI KAILASH,3051,5,
G086882E27875N,None,86.882,27.875,420,NP,AMA DABLAM,3459,5,G086885E27873N
G086537E27874N,Rolwaling,86.537,27.874,435,NP,ROLWALING (TRAKARDING),3672,5,G086534E27875N
G079893E30557N,None,79.893,30.557,262,IN,DUNAGIRI,1047,5,G079894E30558N
G083488E28819N,None,83.488,28.819,433,NP,RIKHA SAMBA,1516,5,G083490E28827N
G080395E30354N,None,80.395,30.354,265,IN,JHULANG (KHARSA),3046,5,G080402E30359N
G080484E30213N,None,80.484,30.213,267,IN,MEOLA,3047,5,G080466E30214N
G086937E27878N,None,86.937,27.878,421,NP,AMPHU LAPTSE,3460,5,
G086862E27938N,Nuptse,86.862,27.938,431,NP,NUPTSE,3466,5,G086868E27946N
G086943E28072N,East Rongbuk Glacier,86.943,28.072,172,CN,RONGBU,870,5,
G085576E28254N,None,85.576,28.254,424,NP,KYIMOSHUNG,3907,5,
G086519E27919N,Ripimo Shar,86.519,27.919,434,NP,RIPIMO SHAR,3317,5,
G074747E36448N,None,74.747,36.448,503,PK,PASU,993,5,
G074636E36457N,None,74.636,36.457,492,PK,GHULKIN,996,5,G074506E36437N
G074310E36745N,Yashkuk Yaz Glacier,74.31,36.745,511,PK,YASHKUK YAZ,999,5,
G073722E36798N,None,73.722,36.798,489,PK,CHIANTAR,1001,5,
G074755E35327N,Sachen Glacier,74.755,35.327,506,PK,SATSCHEN SANGO,977,5,G074746E35328N
G074568E36190N,Minapin Glacier,74.568,36.19,500,PK,MINAPIN,994,5,G074594E36164N
G074166E36631N,Karambar Glacier,74.166,36.631,496,PK,KARAMBAR,1002,5,G074224E36616N
G077077E32344N,None,77.077,32.344,257,IN,BEAS KUND,3053,5,G077662E31892N
G074991E35994N,None,74.991,35.994,490,PK,CHOGO LUNGMA,972,5,G075218E35874N
G008319E46431N,GRIESGLETSCHER,8.319,46.431,113,CH,GRIES,359,5,
G007807E46481N,KANDERFIRN,7.807,46.481,99,CH,ALPETLI (KANDER),439,5,
G007581E46002N,FERP?CLE GLACIER DE,7.581,46.002,107,CH,FERPECLE,379,5,
G008426E46612N,TIEFENGLETSCHER,8.426,46.612,137,CH,TIEFEN,433,5,
G007930E46472N,Langgletscher,7.93,46.472,117,CH,LANG,386,5,
G008006E46177N,ROSSBODEGLETSCHER,8.006,46.177,132,CH,ROSSBODEN,462,5,
G007261E45966N,BOVEIRE GLACIER DE,7.261,45.966,102,CH,BOVEYRE,459,5,
G008297E46408N,Osand  (Sabbione Nord ),8.297,46.408,325,IT,OSAND MER. (SABBIONE MER.),1178,5,
G009038E46502N,LNTAGLETSCHER,9.038,46.502,118,CH,LENTA,414,5,
G007603E46067N,MOIRY GLACIER DE,7.603,46.067,120,CH,MOIRY,380,5,
